X_Value		Untitled	X_Value	Untitled	X_Value	SP
191.72017	159.72017	54.454052	189.698968	55.802515	189.698968	55
192.264225	160.264225	54.675426	190.331031	55.855574	190.331031	55
192.726271	160.726271	54.751285	191.066105	55.738132	191.066105	55
193.366335	161.366335	54.469009	191.789177	56.04602	191.789177	55
193.932392	161.932392	54.584822	192.442242	55.786398	192.442242	55
194.41244	162.41244	54.794779	193.242322	55.887947	193.242322	55
195.061504	163.061504	54.668939	193.871385	56.057698	193.871385	55
195.629561	163.629561	54.875525	194.674466	55.772594	194.674466	55
196.11561	164.11561	54.68408	195.341532	55.920379	195.341532	55
196.778676	164.778676	54.658133	196.049603	55.754206	196.049603	55
197.31673	165.31673	54.671101	196.809679	55.894892	196.809679	55
197.797778	165.797778	54.681916	197.475746	55.920379	197.475746	55
198.462844	166.462844	54.563318	198.32683	55.887947	198.32683	55
199.034902	167.034902	54.718734	198.981896	55.874066	198.981896	55
199.543952	167.543952	54.649492	199.830981	55.809427	199.830981	55
200.223021	168.223021	54.556872	200.52005	55.890262	200.52005	55
200.762074	168.762074	54.686243	201.369135	55.797909	201.369135	55
201.253124	169.253124	54.701399	202.140212	55.922698	202.140212	55
201.91419	169.91419	54.533256	202.866284	55.733542	202.866284	55
202.451243	170.451243	54.699233	203.593357	55.857885	203.593357	55
202.931291	170.931291	54.614972	204.267425	55.797909	204.267425	55
203.600358	171.600358	54.48184	205.075506	55.772594	205.075506	55
204.133412	172.133412	54.72524	205.702568	56.062371	205.702568	55
204.61646	172.61646	54.731748	206.503648	55.667118	206.503648	55
205.287527	173.287527	54.513958	207.206718	56.0998	207.206718	55
205.82258	173.82258	54.78172	207.948793	55.761099	207.948793	55
206.305628	174.305628	54.727409	208.728871	55.987744	208.728871	55
206.974696	174.974696	54.501103	209.407938	55.818647	209.407938	55
207.506749	175.506749	54.673264	210.240022	56.118543	210.240022	55
207.986797	175.986797	54.563318	210.870085	56.008702	210.870085	55
208.656864	176.656864	54.49468	211.703168	55.908789	211.703168	55
209.188917	177.188917	54.627909	212.402238	56.229055	212.402238	55
209.654963	177.654963	54.634381	213.188317	55.962162	213.188317	55
210.31603	178.31603	54.471147	213.886386	56.127922	213.886386	55
210.861084	178.861084	54.753457	214.558454	55.927336	214.558454	55
211.32513	179.32513	54.668939	215.343532	56.011032	215.343532	55
211.983197	179.983197	54.623596	215.971595	56.081076	215.971595	55
212.530251	180.530251	54.731748	216.789677	56.097458	216.789677	55
212.996298	180.996298	54.671101	217.42374	56.170188	217.42374	55
213.659364	181.659364	54.582671	218.164814	55.964486	218.164814	55
214.188417	182.188417	54.712231	218.875885	56.167838	218.875885	55
214.663465	182.663465	54.647333	219.539951	55.959838	219.539951	55
215.314529	183.314529	54.563318	220.337031	56.132614	220.337031	55
215.875586	183.875586	54.836197	221.018099	56.090435	221.018099	55
216.359634	184.359634	54.591279	221.847182	55.920379	221.847182	55
217.007699	185.007699	54.477562	222.489246	56.167838	222.489246	55
217.567755	185.567755	54.643015	223.213319	55.938937	223.213319	55
218.038802	186.038802	54.836197	223.91939	56.191359	223.91939	55
218.690867	186.690867	54.576218	224.546453	56.062371	224.546453	55
219.257924	187.257924	54.954441	225.346532	55.945902	225.346532	55
219.750973	187.750973	54.820927	225.960594	56.13496	225.960594	55
220.408039	188.408039	54.783895	226.710669	55.871753	226.710669	55
220.979096	188.979096	54.94346	227.403738	56.139653	227.403738	55
221.483146	189.483146	54.773019	228.064804	55.997056	228.064804	55
222.153214	190.153214	54.640856	228.864884	56.020355	228.864884	55
222.688267	190.688267	54.777369	229.482946	56.104484	229.482946	55
223.173316	191.173316	54.714399	230.291027	55.920379	230.291027	55
223.848383	191.848383	54.569767	230.973095	56.102142	230.973095	55
224.387436	192.387436	54.75563	231.689167	55.892577	231.689167	55
224.880486	192.880486	54.903982	232.42824	56.090435	232.42824	55
225.552553	193.552553	54.74477	233.089306	56.048355	233.089306	55
226.085607	194.085607	54.790425	233.918389	56.142	233.918389	55
226.566655	194.566655	54.770844	234.552453	56.276287	234.552453	55
227.249723	195.249723	54.606353	235.32853	55.994727	235.32853	55
227.792778	195.792778	54.847113	235.998598	56.179594	235.998598	55
228.280826	196.280826	54.790425	236.669664	56.053026	236.669664	55
228.958894	196.958894	54.563318	237.449742	56.055361	237.449742	55
